237	22 Yards: Cricket Club	Sports/Recreation
238	Accounting Club	Academic/Departmental
583	Active Minds	Service/Social Action
582	Actuarial Students Society 	Career/Professional
483	Adaa	Arts/Performance
608	AF Theatre Company	Arts/Performance
46	African Student Association	Cultural/Ethnic
120	Agape Campus Christian Fellowship	Religion/Spirituality
145	Aikido Club	Sports/Recreation
765	AIM (Achievement and Inspiration through Mentorship)	Service/Social Action
70	Alpha Kappa Alpha Lambda Phi Chapter Sorority Inc.	Fraternities/Sororities
553	alpha Kappa Delta Phi	Fraternities/Sororities
412	Alpha Phi Omega	Service/Social Action
72	Alpha Sigma Alpha	Fraternities/Sororities
185	Alpha Sigma Kappa	Fraternities/Sororities
382	Amateur Radio Club	Hobbies
540	American Institute of Chemical Engineers (AIChE)	Career/Professional
627	American Red Cross Club	Service/Social Action
2	American Society of Mechanical Engineers	Career/Professional
418	Amnesty International	Service/Social Action
651	Ampersand Creative Writing Club	Hobbies
430	Ancient Studies Club	Academic/Departmental
137	Anime Society	Hobbies
663	Anomaly	Religion/Spirituality
694	Apples and Floss for Baltimore	Service/Social Action
404	Arab Student Union	Cultural/Ethnic
141	Army R.O.T.C.	Career/Professional
47	Asian Student Connection	Cultural/Ethnic
712	Asian Studies Council of Majors	Academic/Departmental
591	Astronomy Club	Hobbies
744	Audiophiles Alike	Hobbies
700	B-More Bhangra	Arts/Performance
106	Bartleby (The Creative Arts Journal of UMBC)	Academic/Departmental
270	Bengali Student Council	Cultural/Ethnic
769	Best Buddies	Service/Social Action
464	Bethel Campus Fellowship	Religion/Spirituality
711	Bhagavad-Gita Club	Cultural/Ethnic
365	Billiards Club	Hobbies
5	Biology Council of Majors	Academic/Departmental
48	Black Student Union	Cultural/Ethnic
539	CamDi (Campus Disciples)	Religion/Spirituality
470	Caribbean Students Council	Cultural/Ethnic
132	Catholic Retrievers	Religion/Spirituality
761	Chemical Engineering Car Development Team	Academic/Departmental
6	Chemistry/Biochemistry Council of Majors	Academic/Departmental
99	Chess Club	Intellectual Sports
574	Chi Alpha Christian Fellowship	Religion/Spirituality
125	Chinese Bible Study Fellowship	Religion/Spirituality
51	Chinese Students Association	Cultural/Ethnic
709	Chinmaya Yuva Kendra (CHYK)	Religion/Spirituality
612	Christians On Campus	Religion/Spirituality
613	Circle K	Service/Social Action
666	Circus Arts Club	Hobbies
